name,version,source_kind,file,line,raw
gspell-1,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,5274,"PKG_CHECK_MODULES(..., [gspell-1], ...)"
gspell-1,,cmake:find_library,languages/cpp/project/wxWidgets/build/cmake/modules/FindGSPELL.cmake,17,find_library(GSPELL_LIBRARIES NAMES gspell-1 HINTS ${PC_GSPELL_LIBDIR} ${PC_GSPELL_LIBRARY_DIRS} )
gspell-1,,cmake:pkg_check_modules,languages/cpp/project/wxWidgets/build/cmake/modules/FindGSPELL.cmake,9,pkg_check_modules(PC_GSPELL QUIET gspell-1)
gstreamer,0.10,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/init.cmake,671,find_package(GSTREAMER 0.10 COMPONENTS interfaces)
gstreamer,1.0,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/init.cmake,669,find_package(GSTREAMER 1.0 COMPONENTS video)
gtk+-2.0,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,2926,"PKG_CHECK_MODULES(..., [gtk+-2.0 >= 2.6.0], ...)"
gtk+-2.0,,cmake:pkg_check_modules,languages/cpp/project/wxWidgets/build/cmake/modules/FindGTK2.cmake,32,pkg_check_modules(GTK2 QUIET gtk+-2.0)
gtk+-3.0,,cmake:pkg_check_modules,languages/cpp/project/wxWidgets/build/cmake/modules/FindGTK3.cmake,32,pkg_check_modules(GTK3 QUIET gtk+-3.0)
gtk2,,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/modules/FindGTK2.cmake,61,find_package(GTK2)
gtk4,,cmake:pkg_check_modules,languages/cpp/project/wxWidgets/build/cmake/modules/FindGTK4.cmake,32,pkg_check_modules(GTK4 QUIET gtk4)
gtkprint,,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/init.cmake,753,find_package(GTKPRINT ${wxTOOLKIT_VERSION})
iconv,,cmake:find_library,languages/cpp/project/wxWidgets/build/cmake/modules/FindICONV.cmake,20,FIND_LIBRARY(ICONV_LIBRARIES NAMES iconv libiconv libiconv-2 c)
iconv,,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/init.cmake,410,find_package(ICONV)
jbig,,autoconf:ac_check_lib,languages/cpp/project/wxWidgets/configure.ac,2522,"AC_CHECK_LIB(jbig,"
jpeg,,autoconf:ac_check_lib,languages/cpp/project/wxWidgets/configure.ac,2433,"AC_CHECK_LIB(jpeg,"
jpeg,,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/lib/jpeg.cmake,11,find_package(JPEG)
libcurl,,autoconf:pkg_check_modules,languages/cpp/project/wxWidgets/configure.ac,2831,"PKG_CHECK_MODULES(..., [libcurl], ...)"
libiconv,,cmake:find_library,languages/cpp/project/wxWidgets/build/cmake/modules/FindICONV.cmake,20,FIND_LIBRARY(ICONV_LIBRARIES NAMES iconv libiconv libiconv-2 c)
libiconv-2,,cmake:find_library,languages/cpp/project/wxWidgets/build/cmake/modules/FindICONV.cmake,20,FIND_LIBRARY(ICONV_LIBRARIES NAMES iconv libiconv libiconv-2 c)
liblzma,,cmake:find_package,languages/cpp/project/wxWidgets/build/cmake/init.cmake,359,find_package(LibLZMA)
