kind,manifest_file,project_name,package,version,source_kind,source
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-devhelp,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-htmlhelp,2.1.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-jsmath,1.0.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-log-cabinet,1.0.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-qthelp,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,sphinxcontrib-serializinghtml,2.0.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,starlette,0.52.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,tomli,2.4.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,tox,4.34.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,tox-uv,1.29.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,types-contextvars,2.4.7.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,types-dataclasses,0.6.6,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,typing-extensions,4.15.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,urllib3,2.6.3,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,uv,0.9.28,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,uvicorn,0.40.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,virtualenv,20.36.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,watchfiles,1.1.1,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,websockets,16.0,registry,https://pypi.org/simple
uv.lock,languages/python/project/flask/uv.lock,Flask,werkzeug,3.1.5,registry,https://pypi.org/simple
