owner_module,owner_file,dep_module,dep_version,indirect,decl_type,source_line
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/pmezard/go-difflib,v1.0.1-0.20181226105442-5d4384ee4fb2,false,direct,56
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/prometheus/client_golang,v1.23.0,false,direct,57
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/prometheus/client_model,v0.6.2,false,direct,58
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/quic-go/quic-go,v0.59.0,false,direct,59
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/redis/go-redis/v9,v9.8.0,false,direct,60
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/rs/zerolog,v1.33.0,false,direct,61
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/sirupsen/logrus,v1.9.3,false,direct,62
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/spiffe/go-spiffe/v2,v2.6.0,false,direct,63
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/stealthrocket/wasi-go,v0.8.0,false,direct,64
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/stealthrocket/wazergo,v0.19.1,false,direct,65
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/stretchr/testify,v1.11.1,false,direct,66
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/stvp/go-udp-testing,v0.0.0-20201019212854-469649b16807,false,direct,67
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/tailscale/tscert,v0.0.0-20230806124524-28a91b69a046,false,direct,68
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/testcontainers/testcontainers-go,v0.32.0,false,direct,69
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/testcontainers/testcontainers-go/modules/k3s,v0.32.0,false,direct,70
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/tetratelabs/wazero,v1.8.0,false,direct,71
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/tidwall/gjson,v1.17.0,false,direct,72
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/traefik/grpc-web,v0.16.0,false,direct,73
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/traefik/paerser,v0.2.2,false,direct,74
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/traefik/traefik/dynamic/ext,v0.0.0-00010101000000-000000000000,false,direct,75
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/traefik/yaegi,v0.16.1,false,direct,76
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/unrolled/render,v1.0.2,false,direct,77
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/unrolled/secure,v1.0.9,false,direct,78
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/valyala/fasthttp,v1.58.0,false,direct,79
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/vulcand/oxy/v2,v2.0.3,false,direct,80
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/vulcand/predicate,v1.2.0,false,direct,81
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/yuin/gopher-lua,v1.1.1,false,direct,82
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/collector/pdata,v1.41.0,false,direct,83
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/contrib/bridges/otellogrus,v0.13.0,false,direct,84
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/contrib/propagators/autoprop,v0.63.0,false,direct,85
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel,v1.38.0,false,direct,86
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploggrpc,v0.14.0,false,direct,87
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploghttp,v0.14.0,false,direct,88
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc,v1.38.0,false,direct,89
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp,v1.38.0,false,direct,90
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/exporters/otlp/otlptrace,v1.38.0,false,direct,91
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc,v1.38.0,false,direct,92
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,v1.38.0,false,direct,93
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/log,v0.14.0,false,direct,94
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/metric,v1.38.0,false,direct,95
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/sdk,v1.38.0,false,direct,96
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/sdk/log,v0.14.0,false,direct,97
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/sdk/metric,v1.38.0,false,direct,98
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,go.opentelemetry.io/otel/trace,v1.38.0,false,direct,99
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/crypto,v0.47.0,false,direct,100
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/mod,v0.31.0,false,direct,101
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/net,v0.49.0,false,direct,102
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/sync,v0.19.0,false,direct,103
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/sys,v0.40.0,false,direct,104
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/text,v0.33.0,false,direct,105
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/time,v0.14.0,false,direct,106
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,golang.org/x/tools,v0.40.0,false,direct,107
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,google.golang.org/grpc,v1.78.0,false,direct,108
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,gopkg.in/natefinch/lumberjack.v2,v2.2.1,false,direct,109
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,gopkg.in/yaml.v3,v3.0.1,false,direct,110
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,k8s.io/api,v0.34.3,false,direct,111
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,k8s.io/apiextensions-apiserver,v0.34.3,false,direct,112
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,k8s.io/apimachinery,v0.34.3,false,direct,113
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,k8s.io/client-go,v0.34.3,false,direct,114
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,k8s.io/utils,v0.0.0-20250820121507-0af2bda4dd1d,false,direct,115
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,knative.dev/networking,v0.0.0-20241022012959-60e29ff520dc,false,direct,116
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,knative.dev/pkg,v0.0.0-20241021183759-9b9d535af5ad,false,direct,117
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,mvdan.cc/xurls/v2,v2.5.0,false,direct,118
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,sigs.k8s.io/controller-runtime,v0.22.1,false,direct,119
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,sigs.k8s.io/gateway-api,v1.4.0,false,direct,120
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,sigs.k8s.io/structured-merge-diff/v6,v6.3.1,false,direct,121
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,sigs.k8s.io/yaml,v1.6.0,false,direct,122
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,cloud.google.com/go/auth,v0.18.0,true,indirect,126
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,cloud.google.com/go/auth/oauth2adapt,v0.2.8,true,indirect,127
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,cloud.google.com/go/compute/metadata,v0.9.0,true,indirect,128
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,dario.cat/mergo,v1.0.1,true,indirect,129
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/AdamSLevy/jsonrpc2/v14,v14.1.0,true,indirect,130
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/azure-sdk-for-go,v68.0.0+incompatible,true,indirect,131
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/azure-sdk-for-go/sdk/azcore,v1.20.0,true,indirect,132
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/azure-sdk-for-go/sdk/azidentity,v1.13.1,true,indirect,133
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/azure-sdk-for-go/sdk/internal,v1.11.2,true,indirect,134
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/dns/armdns,v1.2.0,true,indirect,135
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/privatedns/armprivatedns,v1.3.0,true,indirect,136
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resourcegraph/armresourcegraph,v0.9.0,true,indirect,137
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-ansiterm,v0.0.0-20250102033503-faa5f7b0171c,true,indirect,138
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest,v14.2.0+incompatible,true,indirect,139
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/autorest,v0.11.30,true,indirect,140
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/autorest/adal,v0.9.22,true,indirect,141
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/autorest/azure/auth,v0.5.13,true,indirect,142
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/autorest/azure/cli,v0.4.6,true,indirect,143
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/autorest/date,v0.3.0,true,indirect,144
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/autorest/to,v0.4.1,true,indirect,145
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/logger,v0.2.1,true,indirect,146
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Azure/go-autorest/tracing,v0.6.0,true,indirect,147
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/AzureAD/microsoft-authentication-library-for-go,v1.6.0,true,indirect,148
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/HdrHistogram/hdrhistogram-go,v1.1.2,true,indirect,149
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Masterminds/goutils,v1.1.1,true,indirect,150
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Masterminds/semver/v3,v3.3.1,true,indirect,151
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Microsoft/go-winio,v0.6.2,true,indirect,152
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/Microsoft/hcsshim,v0.13.0,true,indirect,153
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/VividCortex/gohistogram,v1.0.0,true,indirect,154
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/akamai/AkamaiOPEN-edgegrid-golang/v11,v11.1.0,true,indirect,155
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/alibabacloud-go/alibabacloud-gateway-spi,v0.0.5,true,indirect,156
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/alibabacloud-go/darabonba-openapi/v2,v2.1.13,true,indirect,157
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/alibabacloud-go/debug,v1.0.1,true,indirect,158
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/alibabacloud-go/tea,v1.4.0,true,indirect,159
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/alibabacloud-go/tea-utils/v2,v2.0.7,true,indirect,160
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aliyun/credentials-go,v1.4.7,true,indirect,161
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/armon/go-metrics,v0.4.1,true,indirect,162
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/feature/ec2/imds,v1.18.16,true,indirect,163
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/internal/configsources,v1.4.16,true,indirect,164
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,v2.7.16,true,indirect,165
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/internal/ini,v1.8.4,true,indirect,166
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding,v1.13.4,true,indirect,167
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,v1.13.16,true,indirect,168
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/lightsail,v1.50.10,true,indirect,169
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/route53,v1.62.0,true,indirect,170
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/signin,v1.0.4,true,indirect,171
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/sso,v1.30.8,true,indirect,172
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/ssooidc,v1.35.12,true,indirect,173
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aws/aws-sdk-go-v2/service/sts,v1.41.5,true,indirect,174
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/aziontech/azionapi-go-sdk,v0.144.0,true,indirect,175
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/baidubce/bce-sdk-go,v0.9.256,true,indirect,176
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/benbjohnson/clock,v1.3.5,true,indirect,177
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/beorn7/perks,v1.0.1,true,indirect,178
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/blendle/zapdriver,v1.3.1,true,indirect,179
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/boombuler/barcode,v1.0.1-0.20190219062509-6c824513bacc,true,indirect,180
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/bytedance/sonic,v1.10.0,true,indirect,181
github.com/traefik/traefik/v3,languages/go/project/traefik/go.mod,github.com/cenkalti/backoff/v5,v5.0.3,true,indirect,182
