ecosystem,name,version,direct,dev,purl,manifest
composer,league/flysystem,3.30.2,false,false,pkg:composer/league/flysystem@3.30.2,languages/php/project/coolify/composer.lock
composer,league/flysystem-aws-s3-v3,3.30.1,true,false,pkg:composer/league/flysystem-aws-s3-v3@3.30.1,languages/php/project/coolify/composer.lock
composer,league/flysystem-local,3.30.2,false,false,pkg:composer/league/flysystem-local@3.30.2,languages/php/project/coolify/composer.lock
composer,league/flysystem-sftp-v3,3.30.0,true,false,pkg:composer/league/flysystem-sftp-v3@3.30.0,languages/php/project/coolify/composer.lock
composer,league/mime-type-detection,1.16.0,false,false,pkg:composer/league/mime-type-detection@1.16.0,languages/php/project/coolify/composer.lock
composer,league/oauth1-client,v1.11.0,false,false,pkg:composer/league/oauth1-client@v1.11.0,languages/php/project/coolify/composer.lock
composer,league/uri,7.7.0,false,false,pkg:composer/league/uri@7.7.0,languages/php/project/coolify/composer.lock
composer,league/uri-interfaces,7.7.0,false,false,pkg:composer/league/uri-interfaces@7.7.0,languages/php/project/coolify/composer.lock
composer,livewire/livewire,v3.7.3,true,false,pkg:composer/livewire/livewire@v3.7.3,languages/php/project/coolify/composer.lock
composer,log1x/laravel-webfonts,v2.0.1,true,false,pkg:composer/log1x/laravel-webfonts@v2.0.1,languages/php/project/coolify/composer.lock
composer,lorisleiva/laravel-actions,v2.9.1,true,false,pkg:composer/lorisleiva/laravel-actions@v2.9.1,languages/php/project/coolify/composer.lock
composer,lorisleiva/lody,v0.6.0,false,false,pkg:composer/lorisleiva/lody@v0.6.0,languages/php/project/coolify/composer.lock
composer,mockery/mockery,1.6.12,true,true,pkg:composer/mockery/mockery@1.6.12,languages/php/project/coolify/composer.lock
composer,monolog/monolog,3.10.0,false,false,pkg:composer/monolog/monolog@3.10.0,languages/php/project/coolify/composer.lock
composer,mtdowling/jmespath.php,2.8.0,false,false,pkg:composer/mtdowling/jmespath.php@2.8.0,languages/php/project/coolify/composer.lock
composer,myclabs/deep-copy,1.13.4,false,true,pkg:composer/myclabs/deep-copy@1.13.4,languages/php/project/coolify/composer.lock
composer,nesbot/carbon,3.11.0,false,false,pkg:composer/nesbot/carbon@3.11.0,languages/php/project/coolify/composer.lock
composer,nette/schema,v1.3.3,false,false,pkg:composer/nette/schema@v1.3.3,languages/php/project/coolify/composer.lock
composer,nette/utils,v4.1.1,false,false,pkg:composer/nette/utils@v4.1.1,languages/php/project/coolify/composer.lock
composer,nikic/php-parser,v5.7.0,false,false,pkg:composer/nikic/php-parser@v5.7.0,languages/php/project/coolify/composer.lock
composer,nubs/random-name-generator,v2.2.0,true,false,pkg:composer/nubs/random-name-generator@v2.2.0,languages/php/project/coolify/composer.lock
composer,nunomaduro/collision,v8.8.3,true,true,pkg:composer/nunomaduro/collision@v8.8.3,languages/php/project/coolify/composer.lock
composer,nunomaduro/termwind,v2.3.3,false,false,pkg:composer/nunomaduro/termwind@v2.3.3,languages/php/project/coolify/composer.lock
composer,nyholm/psr7,1.8.2,false,false,pkg:composer/nyholm/psr7@1.8.2,languages/php/project/coolify/composer.lock
composer,paragonie/constant_time_encoding,v3.1.3,false,false,pkg:composer/paragonie/constant_time_encoding@v3.1.3,languages/php/project/coolify/composer.lock
composer,paragonie/random_compat,v9.99.100,false,false,pkg:composer/paragonie/random_compat@v9.99.100,languages/php/project/coolify/composer.lock
composer,paragonie/sodium_compat,v2.5.0,false,false,pkg:composer/paragonie/sodium_compat@v2.5.0,languages/php/project/coolify/composer.lock
composer,pestphp/pest,v4.3.0,true,true,pkg:composer/pestphp/pest@v4.3.0,languages/php/project/coolify/composer.lock
composer,pestphp/pest-plugin,v4.0.0,false,true,pkg:composer/pestphp/pest-plugin@v4.0.0,languages/php/project/coolify/composer.lock
composer,pestphp/pest-plugin-arch,v4.0.0,false,true,pkg:composer/pestphp/pest-plugin-arch@v4.0.0,languages/php/project/coolify/composer.lock
composer,pestphp/pest-plugin-mutate,v4.0.1,false,true,pkg:composer/pestphp/pest-plugin-mutate@v4.0.1,languages/php/project/coolify/composer.lock
composer,pestphp/pest-plugin-profanity,v4.2.1,false,true,pkg:composer/pestphp/pest-plugin-profanity@v4.2.1,languages/php/project/coolify/composer.lock
composer,phar-io/manifest,2.0.4,false,true,pkg:composer/phar-io/manifest@2.0.4,languages/php/project/coolify/composer.lock
composer,phar-io/version,3.2.1,false,true,pkg:composer/phar-io/version@3.2.1,languages/php/project/coolify/composer.lock
composer,php-debugbar/php-debugbar,v2.2.6,false,true,pkg:composer/php-debugbar/php-debugbar@v2.2.6,languages/php/project/coolify/composer.lock
composer,php-di/invoker,2.3.7,false,false,pkg:composer/php-di/invoker@2.3.7,languages/php/project/coolify/composer.lock
composer,php-di/php-di,7.1.1,false,false,pkg:composer/php-di/php-di@7.1.1,languages/php/project/coolify/composer.lock
composer,php-webdriver/webdriver,1.16.0,false,true,pkg:composer/php-webdriver/webdriver@1.16.0,languages/php/project/coolify/composer.lock
composer,phpdocumentor/reflection,6.4.4,false,false,pkg:composer/phpdocumentor/reflection@6.4.4,languages/php/project/coolify/composer.lock
composer,phpdocumentor/reflection-common,2.2.0,false,false,pkg:composer/phpdocumentor/reflection-common@2.2.0,languages/php/project/coolify/composer.lock
composer,phpdocumentor/reflection-docblock,5.6.6,false,false,pkg:composer/phpdocumentor/reflection-docblock@5.6.6,languages/php/project/coolify/composer.lock
composer,phpdocumentor/type-resolver,1.12.0,false,false,pkg:composer/phpdocumentor/type-resolver@1.12.0,languages/php/project/coolify/composer.lock
composer,phpoption/phpoption,1.9.5,false,false,pkg:composer/phpoption/phpoption@1.9.5,languages/php/project/coolify/composer.lock
composer,phpseclib/phpseclib,3.0.48,true,false,pkg:composer/phpseclib/phpseclib@3.0.48,languages/php/project/coolify/composer.lock
composer,phpstan/phpdoc-parser,2.3.0,false,false,pkg:composer/phpstan/phpdoc-parser@2.3.0,languages/php/project/coolify/composer.lock
composer,phpstan/phpstan,2.1.33,true,true,pkg:composer/phpstan/phpstan@2.1.33,languages/php/project/coolify/composer.lock
composer,phpunit/php-code-coverage,12.5.2,false,true,pkg:composer/phpunit/php-code-coverage@12.5.2,languages/php/project/coolify/composer.lock
composer,phpunit/php-file-iterator,6.0.0,false,true,pkg:composer/phpunit/php-file-iterator@6.0.0,languages/php/project/coolify/composer.lock
composer,phpunit/php-invoker,6.0.0,false,true,pkg:composer/phpunit/php-invoker@6.0.0,languages/php/project/coolify/composer.lock
composer,phpunit/php-text-template,5.0.0,false,true,pkg:composer/phpunit/php-text-template@5.0.0,languages/php/project/coolify/composer.lock
composer,phpunit/php-timer,8.0.0,false,true,pkg:composer/phpunit/php-timer@8.0.0,languages/php/project/coolify/composer.lock
composer,phpunit/phpunit,12.5.4,false,true,pkg:composer/phpunit/phpunit@12.5.4,languages/php/project/coolify/composer.lock
composer,pion/laravel-chunk-upload,v1.5.6,true,false,pkg:composer/pion/laravel-chunk-upload@v1.5.6,languages/php/project/coolify/composer.lock
composer,poliander/cron,3.3.0,true,false,pkg:composer/poliander/cron@3.3.0,languages/php/project/coolify/composer.lock
composer,pragmarx/google2fa,v9.0.0,false,false,pkg:composer/pragmarx/google2fa@v9.0.0,languages/php/project/coolify/composer.lock
composer,psr/cache,3.0.0,false,false,pkg:composer/psr/cache@3.0.0,languages/php/project/coolify/composer.lock
composer,psr/clock,1.0.0,false,false,pkg:composer/psr/clock@1.0.0,languages/php/project/coolify/composer.lock
composer,psr/container,2.0.2,false,false,pkg:composer/psr/container@2.0.2,languages/php/project/coolify/composer.lock
composer,psr/event-dispatcher,1.0.0,false,false,pkg:composer/psr/event-dispatcher@1.0.0,languages/php/project/coolify/composer.lock
composer,psr/http-client,1.0.3,false,false,pkg:composer/psr/http-client@1.0.3,languages/php/project/coolify/composer.lock
