ecosystem,name,version,direct,dev,purl,manifest
npm,@rollup/rollup-linux-arm-gnueabihf,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-arm-gnueabihf@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-arm-musleabihf,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-arm-musleabihf@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-arm64-gnu,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-arm64-gnu@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-arm64-musl,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-arm64-musl@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-loong64-gnu,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-loong64-gnu@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-ppc64-gnu,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-ppc64-gnu@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-riscv64-gnu,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-riscv64-gnu@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-riscv64-musl,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-riscv64-musl@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-s390x-gnu,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-s390x-gnu@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-x64-gnu,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-x64-gnu@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-linux-x64-musl,4.54.0,false,true,pkg:npm/%40rollup/rollup-linux-x64-musl@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-openharmony-arm64,4.54.0,false,true,pkg:npm/%40rollup/rollup-openharmony-arm64@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-win32-arm64-msvc,4.54.0,false,true,pkg:npm/%40rollup/rollup-win32-arm64-msvc@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-win32-ia32-msvc,4.54.0,false,true,pkg:npm/%40rollup/rollup-win32-ia32-msvc@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-win32-x64-gnu,4.54.0,false,true,pkg:npm/%40rollup/rollup-win32-x64-gnu@4.54.0,languages/php/project/coolify/package-lock.json
npm,@rollup/rollup-win32-x64-msvc,4.54.0,false,true,pkg:npm/%40rollup/rollup-win32-x64-msvc@4.54.0,languages/php/project/coolify/package-lock.json
npm,@socket.io/component-emitter,3.1.2,false,true,pkg:npm/%40socket.io/component-emitter@3.1.2,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/forms,0.5.10,true,false,pkg:npm/%40tailwindcss/forms@0.5.10,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/node,4.1.18,false,true,pkg:npm/%40tailwindcss/node@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-android-arm64,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-android-arm64@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-darwin-arm64,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-darwin-arm64@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-darwin-x64,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-darwin-x64@4.1.18,languages/php/project/coolify/package-lock.json
npm,@tailwindcss/oxide-freebsd-x64,4.1.18,false,true,pkg:npm/%40tailwindcss/oxide-freebsd-x64@4.1.18,languages/php/project/coolify/package-lock.json
